Zip_Code,Place Name,State Abbreviation,State,County,Pop_2011_2015
Z95206,Stockton,CA,California,San Joaquin,65448
Z95207,Stockton,CA,California,San Joaquin,48446
Z95209,Stockton,CA,California,San Joaquin,42154
Z95210,Stockton,CA,California,San Joaquin,40686
Z95211,Stockton,CA,California,San Joaquin,1730
Z95212,Stockton,CA,California,San Joaquin,26433
Z95215,Stockton,CA,California,San Joaquin,23824
Z95219,Stockton,CA,California,San Joaquin,28479
Z95220,Acampo,CA,California,San Joaquin,7015
Z95222,Angels Camp,CA,California,Calaveras,4981
Z95223,Arnold,CA,California,Calaveras,2780
Z95224,Avery,CA,California,Calaveras,193
Z95225,Burson,CA,California,Calaveras,749
Z95226,Campo Seco,CA,California,Calaveras,14
Z95227,Clements,CA,California,San Joaquin,814
Z95228,Copperopolis,CA,California,Calaveras,4723
Z95230,Farmington,CA,California,San Joaquin,776
Z95231,French Camp,CA,California,San Joaquin,4823
Z95232,Glencoe,CA,California,Calaveras,266
Z95233,Hathaway Pines,CA,California,Calaveras,627
Z95234,Holt,CA,California,San Joaquin,109
Z95236,Linden,CA,California,San Joaquin,3929
Z95237,Lockeford,CA,California,San Joaquin,3097
Z95240,Lodi,CA,California,San Joaquin,47250
Z95242,Lodi,CA,California,San Joaquin,26343
Z95245,Mokelumne Hill,CA,California,Calaveras,2290
Z95246,Mountain Ranch,CA,California,Calaveras,1256
Z95247,Murphys,CA,California,Calaveras,4981
Z95248,Rail Road Flat,CA,California,Calaveras,121
Z95249,San Andreas,CA,California,Calaveras,3865
Z95251,Vallecito,CA,California,Calaveras,872
Z95252,Valley Springs,CA,California,Calaveras,13874
Z95254,Wallace,CA,California,Calaveras,955
Z95255,West Point,CA,California,Calaveras,1774
Z95257,Wilseyville,CA,California,Calaveras,374
Z95258,Woodbridge,CA,California,San Joaquin,3705
Z95301,Atwater,CA,California,Merced,38022
